category,clip_id,method,metric,status,reason,sampled_frames,has_reference,rows,ok_rows,normalized_gradient_mean_mean,normalized_gradient_mean_p50,normalized_gradient_mean_p95,normalized_gradient_mean_max,reference_gradient_mean_mean,reference_gradient_mean_p50,reference_gradient_mean_p95,reference_gradient_mean_max,gradient_magnitude_ratio_mean,gradient_magnitude_ratio_p50,gradient_magnitude_ratio_p95,gradient_magnitude_ratio_max,normalized_edge_density_mean,normalized_edge_density_p50,normalized_edge_density_p95,normalized_edge_density_max,reference_edge_density_mean,reference_edge_density_p50,reference_edge_density_p95,reference_edge_density_max,edge_precision_mean,edge_precision_p50,edge_precision_p95,edge_precision_max,edge_recall_mean,edge_recall_p50,edge_recall_p95,edge_recall_max,edge_preservation_index_mean,edge_preservation_index_p50,edge_preservation_index_p95,edge_preservation_index_max,fft_angle_separation_deg_mean,fft_angle_separation_deg_p50,fft_angle_separation_deg_p95,fft_angle_separation_deg_max,fft_orthogonality_error_deg_mean,fft_orthogonality_error_deg_p50,fft_orthogonality_error_deg_p95,fft_orthogonality_error_deg_max,fft_axis_alignment_error_deg_mean,fft_axis_alignment_error_deg_p50,fft_axis_alignment_error_deg_p95,fft_axis_alignment_error_deg_max,fft_primary_weight_share_mean,fft_primary_weight_share_p50,fft_primary_weight_share_p95,fft_primary_weight_share_max,fft_peak_count_mean,fft_peak_count_p50,fft_peak_count_p95,fft_peak_count_max,interpretation,initialization_frame_excluded,video_frame_count,annotation_frames,estimate_frames,matched_frames,corner_rmse_px_mean,corner_rmse_px_p50,corner_rmse_px_p95,corner_rmse_px_max,corner_mean_px_mean,corner_mean_px_p50,corner_mean_px_p95,corner_mean_px_max,corner_max_px_mean,corner_max_px_p50,corner_max_px_p95,corner_max_px_max,quad_iou_mean,quad_iou_p50,quad_iou_p95,quad_iou_max,aspect_abs_error_mean,aspect_abs_error_p50,aspect_abs_error_p95,aspect_abs_error_max,aspect_relative_error_mean,aspect_relative_error_p50,aspect_relative_error_p95,aspect_relative_error_max,annotation_frames_before_initialization_exclusion,annotation_frames_after_initialization_exclusion,definition,translation_px_mean,translation_px_p50,translation_px_p95,translation_px_max,rotation_abs_deg_mean,rotation_abs_deg_p50,rotation_abs_deg_p95,rotation_abs_deg_max,scale_abs_delta_mean,scale_abs_delta_p50,scale_abs_delta_p95,scale_abs_delta_max
hard,hard_04,frame_wise,temporal,ok,,,,299,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame-to-frame projective motion of the estimated screen quadrilateral,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_04,optical_flow,detail,ok,,5,True,5,5,0.03278884291648865,0.03231748193502426,0.0404314823448658,0.042373016476631165,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.943657426108461,0.9894986264246778,1.0326995596902877,1.0374628466750562,0.006607831790123457,0.0062683256172839505,0.008079571759259259,0.00828173225308642,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.4485821313228618,0.43599015233112787,0.8555837889474412,0.9545650487110958,0.5214720495838188,0.5167674546454095,0.8456279543752294,0.9188763672522373,0.4783174990298432,0.47295454713943774,0.8494799790645504,0.9363807768865656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_04,optical_flow,frequency,ok,,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_04,optical_flow,geometry,ok,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,4,300,4,27.789369106292725,24.90376853942871,44.58370084762573,47.75785446166992,23.79839062690735,20.79117774963379,39.223677158355706,42.07871627807617,45.22446632385254,41.742374420166016,69.3746124267578,73.8990707397461,0.9782555225582605,0.9820106238828372,0.9898152983707363,0.9903856553585394,0.014488268611912658,0.015571972475775242,0.020357657915684658,0.02061366565331424,0.00835693735278955,0.008875311963675525,0.011901054990266178,0.012139775642885636,5,4,,,,,,,,,,,,,
hard,hard_04,optical_flow,temporal,ok,,,,299,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame-to-frame projective motion of the estimated screen quadrilateral,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_04,proposed,detail,ok,,5,True,5,5,0.03901163786649704,0.03659730404615402,0.04712176471948624,0.0486464723944664,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,1.1429289519436545,1.1864870859506855,1.3971962884330922,1.4487297544575006,0.007750964506172839,0.007686149691358024,0.009294077932098766,0.00933690200617284,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.18571717671980267,0.0611022157946387,0.5757908769440326,0.7043058781490084,0.20606800212447424,0.09089151034616129,0.540693960117043,0.6447630096121976,0.19107123074277965,0.0717242423599524,0.5549674759185257,0.6732204438225795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_04,proposed,frequency,ok,,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_04,proposed,geometry,ok,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,4,300,4,191.82797813415527,172.26799774169922,291.0158508300781,306.137451171875,174.4897518157959,156.0461196899414,267.31165847778317,282.3852233886719,254.3366928100586,233.38224029541016,383.0447387695312,400.58935546875,0.8486554019093623,0.855956078907548,0.8953341360193757,0.8984993717478659,0.05487217568562597,0.0625499258452451,0.08961065674160437,0.08976197469297853,0.03210842198192434,0.036494904195422666,0.05276874710409726,0.052862516175522546,5,4,,,,,,,,,,,,,
hard,hard_04,proposed,temporal,ok,,,,299,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame-to-frame projective motion of the estimated screen quadrilateral,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_05,frame_wise,detail,ok,,5,True,5,5,0.032467440143227576,0.03182825818657875,0.03689366057515144,0.03794266656041145,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.9413073508687594,0.9592627892680928,1.0337385132949664,1.0342045679018113,0.006252121913580247,0.0064438657407407405,0.006608024691358025,0.006615547839506173,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.38761583730382193,0.25537764839074883,0.824030638864401,0.9524539877300614,0.43651968771203,0.3041093054549219,0.818782284906937,0.9287371561153464,0.40854371293866015,0.27476220507276417,0.8206036348080654,0.9404460687465697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_05,frame_wise,frequency,ok,,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_05,frame_wise,geometry,ok,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,4,300,4,8.977789044380188,9.62011432647705,10.335507440567017,10.375409126281738,8.201722145080566,8.594258308410645,9.457684803009032,9.575850486755371,13.221432209014893,13.222346305847168,17.352146530151366,17.924320220947266,0.9911906175502105,0.9907034459734928,0.9929137630886966,0.993279157957325,0.0055053914588866215,0.005379765334721509,0.007616429846576011,0.007954808598639174,0.0031618828697056066,0.0030789908265137457,0.004337504598006956,0.004541861859741589,5,4,,,,,,,,,,,,,
hard,hard_05,frame_wise,temporal,ok,,,,299,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame-to-frame projective motion of the estimated screen quadrilateral,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_05,optical_flow,detail,ok,,5,True,5,5,0.03278884291648865,0.03231748193502426,0.0404314823448658,0.042373016476631165,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.943657426108461,0.9894986264246778,1.0326995596902877,1.0374628466750562,0.006607831790123457,0.0062683256172839505,0.008079571759259259,0.00828173225308642,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.4485821313228618,0.43599015233112787,0.8555837889474412,0.9545650487110958,0.5214720495838188,0.5167674546454095,0.8456279543752294,0.9188763672522373,0.4783174990298432,0.47295454713943774,0.8494799790645504,0.9363807768865656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_05,optical_flow,frequency,ok,,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_05,optical_flow,geometry,ok,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,4,300,4,27.789369106292725,24.90376853942871,44.58370084762573,47.75785446166992,23.79839062690735,20.79117774963379,39.223677158355706,42.07871627807617,45.22446632385254,41.742374420166016,69.3746124267578,73.8990707397461,0.9782555225582605,0.9820106238828372,0.9898152983707363,0.9903856553585394,0.014488268611912658,0.015571972475775242,0.020357657915684658,0.02061366565331424,0.00835693735278955,0.008875311963675525,0.011901054990266178,0.012139775642885636,5,4,,,,,,,,,,,,,
hard,hard_05,optical_flow,temporal,ok,,,,299,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame-to-frame projective motion of the estimated screen quadrilateral,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_05,proposed,detail,ok,,5,True,5,5,0.03901163786649704,0.03659730404615402,0.04712176471948624,0.0486464723944664,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,1.1429289519436545,1.1864870859506855,1.3971962884330922,1.4487297544575006,0.007750964506172839,0.007686149691358024,0.009294077932098766,0.00933690200617284,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.18571717671980267,0.0611022157946387,0.5757908769440326,0.7043058781490084,0.20606800212447424,0.09089151034616129,0.540693960117043,0.6447630096121976,0.19107123074277965,0.0717242423599524,0.5549674759185257,0.6732204438225795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_05,proposed,frequency,ok,,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_05,proposed,geometry,ok,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,4,300,4,191.82797813415527,172.26799774169922,291.0158508300781,306.137451171875,174.4897518157959,156.0461196899414,267.31165847778317,282.3852233886719,254.3366928100586,233.38224029541016,383.0447387695312,400.58935546875,0.8486554019093623,0.855956078907548,0.8953341360193757,0.8984993717478659,0.05487217568562597,0.0625499258452451,0.08961065674160437,0.08976197469297853,0.03210842198192434,0.036494904195422666,0.05276874710409726,0.052862516175522546,5,4,,,,,,,,,,,,,
hard,hard_05,proposed,temporal,ok,,,,299,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame-to-frame projective motion of the estimated screen quadrilateral,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_06,frame_wise,detail,ok,,5,True,5,5,0.032467440143227576,0.03182825818657875,0.03689366057515144,0.03794266656041145,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.9413073508687594,0.9592627892680928,1.0337385132949664,1.0342045679018113,0.006252121913580247,0.0064438657407407405,0.006608024691358025,0.006615547839506173,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.38761583730382193,0.25537764839074883,0.824030638864401,0.9524539877300614,0.43651968771203,0.3041093054549219,0.818782284906937,0.9287371561153464,0.40854371293866015,0.27476220507276417,0.8206036348080654,0.9404460687465697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_06,frame_wise,frequency,ok,,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_06,frame_wise,geometry,ok,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,4,300,4,8.977789044380188,9.62011432647705,10.335507440567017,10.375409126281738,8.201722145080566,8.594258308410645,9.457684803009032,9.575850486755371,13.221432209014893,13.222346305847168,17.352146530151366,17.924320220947266,0.9911906175502105,0.9907034459734928,0.9929137630886966,0.993279157957325,0.0055053914588866215,0.005379765334721509,0.007616429846576011,0.007954808598639174,0.0031618828697056066,0.0030789908265137457,0.004337504598006956,0.004541861859741589,5,4,,,,,,,,,,,,,
hard,hard_06,frame_wise,temporal,ok,,,,299,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame-to-frame projective motion of the estimated screen quadrilateral,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_06,optical_flow,detail,ok,,5,True,5,5,0.03278884291648865,0.03231748193502426,0.0404314823448658,0.042373016476631165,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.943657426108461,0.9894986264246778,1.0326995596902877,1.0374628466750562,0.006607831790123457,0.0062683256172839505,0.008079571759259259,0.00828173225308642,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.4485821313228618,0.43599015233112787,0.8555837889474412,0.9545650487110958,0.5214720495838188,0.5167674546454095,0.8456279543752294,0.9188763672522373,0.4783174990298432,0.47295454713943774,0.8494799790645504,0.9363807768865656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_06,optical_flow,frequency,ok,,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_06,optical_flow,geometry,ok,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,4,300,4,27.789369106292725,24.90376853942871,44.58370084762573,47.75785446166992,23.79839062690735,20.79117774963379,39.223677158355706,42.07871627807617,45.22446632385254,41.742374420166016,69.3746124267578,73.8990707397461,0.9782555225582605,0.9820106238828372,0.9898152983707363,0.9903856553585394,0.014488268611912658,0.015571972475775242,0.020357657915684658,0.02061366565331424,0.00835693735278955,0.008875311963675525,0.011901054990266178,0.012139775642885636,5,4,,,,,,,,,,,,,
hard,hard_06,optical_flow,temporal,ok,,,,299,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame-to-frame projective motion of the estimated screen quadrilateral,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_06,proposed,detail,ok,,5,True,5,5,0.03901163786649704,0.03659730404615402,0.04712176471948624,0.0486464723944664,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,1.1429289519436545,1.1864870859506855,1.3971962884330922,1.4487297544575006,0.007750964506172839,0.007686149691358024,0.009294077932098766,0.00933690200617284,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.18571717671980267,0.0611022157946387,0.5757908769440326,0.7043058781490084,0.20606800212447424,0.09089151034616129,0.540693960117043,0.6447630096121976,0.19107123074277965,0.0717242423599524,0.5549674759185257,0.6732204438225795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_06,proposed,frequency,ok,,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_06,proposed,geometry,ok,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,4,300,4,191.82797813415527,172.26799774169922,291.0158508300781,306.137451171875,174.4897518157959,156.0461196899414,267.31165847778317,282.3852233886719,254.3366928100586,233.38224029541016,383.0447387695312,400.58935546875,0.8486554019093623,0.855956078907548,0.8953341360193757,0.8984993717478659,0.05487217568562597,0.0625499258452451,0.08961065674160437,0.08976197469297853,0.03210842198192434,0.036494904195422666,0.05276874710409726,0.052862516175522546,5,4,,,,,,,,,,,,,
hard,hard_06,proposed,temporal,ok,,,,299,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame-to-frame projective motion of the estimated screen quadrilateral,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_07,frame_wise,detail,ok,,5,True,5,5,0.032467440143227576,0.03182825818657875,0.03689366057515144,0.03794266656041145,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.9413073508687594,0.9592627892680928,1.0337385132949664,1.0342045679018113,0.006252121913580247,0.0064438657407407405,0.006608024691358025,0.006615547839506173,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.38761583730382193,0.25537764839074883,0.824030638864401,0.9524539877300614,0.43651968771203,0.3041093054549219,0.818782284906937,0.9287371561153464,0.40854371293866015,0.27476220507276417,0.8206036348080654,0.9404460687465697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_07,frame_wise,frequency,ok,,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_07,frame_wise,geometry,ok,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,4,300,4,8.977789044380188,9.62011432647705,10.335507440567017,10.375409126281738,8.201722145080566,8.594258308410645,9.457684803009032,9.575850486755371,13.221432209014893,13.222346305847168,17.352146530151366,17.924320220947266,0.9911906175502105,0.9907034459734928,0.9929137630886966,0.993279157957325,0.0055053914588866215,0.005379765334721509,0.007616429846576011,0.007954808598639174,0.0031618828697056066,0.0030789908265137457,0.004337504598006956,0.004541861859741589,5,4,,,,,,,,,,,,,
hard,hard_07,frame_wise,temporal,ok,,,,299,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame-to-frame projective motion of the estimated screen quadrilateral,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_07,optical_flow,detail,ok,,5,True,5,5,0.03278884291648865,0.03231748193502426,0.0404314823448658,0.042373016476631165,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.943657426108461,0.9894986264246778,1.0326995596902877,1.0374628466750562,0.006607831790123457,0.0062683256172839505,0.008079571759259259,0.00828173225308642,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.4485821313228618,0.43599015233112787,0.8555837889474412,0.9545650487110958,0.5214720495838188,0.5167674546454095,0.8456279543752294,0.9188763672522373,0.4783174990298432,0.47295454713943774,0.8494799790645504,0.9363807768865656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,hard_07,optical_flow,frequency,ok,,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
